symbol,index_code,first_seen_date,last_seen_date,inclusion_date,removed_date
000001,000300,2026-06-28,2026-06-28,2005-04-08,
000002,000300,2026-06-28,2026-06-28,2005-04-08,
000063,000300,2026-06-28,2026-06-28,2005-04-08,
000100,000300,2026-06-28,2026-06-28,,
000157,000300,2026-06-28,2026-06-28,2005-04-08,
000166,000300,2026-06-28,2026-06-28,2015-01-26,
000301,000300,2026-06-28,2026-06-28,2021-12-13,
000333,000300,2026-06-28,2026-06-28,2013-09-18,
000338,000300,2026-06-28,2026-06-28,2008-01-02,
000408,000300,2026-06-28,2026-06-28,2022-06-13,
000425,000300,2026-06-28,2026-06-28,2005-04-08,
000538,000300,2026-06-28,2026-06-28,2005-07-01,
000568,000300,2026-06-28,2026-06-28,2005-04-08,
000596,000300,2026-06-28,2026-06-28,2019-06-17,
000617,000300,2026-06-28,2026-06-28,2023-06-12,
000625,000300,2026-06-28,2026-06-28,2005-04-08,
000630,000300,2026-06-28,2026-06-28,2024-12-16,
000651,000300,2026-06-28,2026-06-28,2005-04-08,
000657,000300,2026-06-28,2026-06-28,2026-06-15,
000708,000300,2026-06-28,2026-06-28,2020-06-15,
000725,000300,2026-06-28,2026-06-28,2012-07-02,
000768,000300,2026-06-28,2026-06-28,2006-01-04,
000776,000300,2026-06-28,2026-06-28,2011-01-04,
000792,000300,2026-06-28,2026-06-28,2022-06-13,
000807,000300,2026-06-28,2026-06-28,2024-06-17,
000858,000300,2026-06-28,2026-06-28,2005-04-08,
000895,000300,2026-06-28,2026-06-28,2008-01-02,
000938,000300,2026-06-28,2026-06-28,2016-12-12,
000963,000300,2026-06-28,2026-06-28,2013-07-01,
000975,000300,2026-06-28,2026-06-28,2024-12-16,
000977,000300,2026-06-28,2026-06-28,2020-06-15,
000988,000300,2026-06-28,2026-06-28,2026-06-15,
000999,000300,2026-06-28,2026-06-28,2023-12-11,
001280,000300,2026-06-28,2026-06-28,2026-06-15,
001391,000300,2026-06-28,2026-06-28,2025-06-16,
001965,000300,2026-06-28,2026-06-28,2024-06-17,
001979,000300,2026-06-28,2026-06-28,2015-12-30,
002001,000300,2026-06-28,2026-06-28,2018-12-17,
002027,000300,2026-06-28,2026-06-28,2016-06-13,
002028,000300,2026-06-28,2026-06-28,2024-12-16,
002049,000300,2026-06-28,2026-06-28,2020-12-14,
002050,000300,2026-06-28,2026-06-28,2018-06-11,
002074,000300,2026-06-28,2026-06-28,2022-06-13,
002142,000300,2026-06-28,2026-06-28,2008-01-02,
002179,000300,2026-06-28,2026-06-28,2018-12-17,
002202,000300,2026-06-28,2026-06-28,2026-06-15,
002230,000300,2026-06-28,2026-06-28,2013-12-16,
002236,000300,2026-06-28,2026-06-28,2013-01-04,
002241,000300,2026-06-28,2026-06-28,2012-07-02,
002304,000300,2026-06-28,2026-06-28,2010-07-01,
002311,000300,2026-06-28,2026-06-28,2018-12-17,
002352,000300,2026-06-28,2026-06-28,2017-06-12,
002353,000300,2026-06-28,2026-06-28,2026-06-15,
002371,000300,2026-06-28,2026-06-28,2020-06-15,
002384,000300,2026-06-28,2026-06-28,2025-12-15,
002415,000300,2026-06-28,2026-06-28,2011-01-04,
002422,000300,2026-06-28,2026-06-28,2024-12-16,
002460,000300,2026-06-28,2026-06-28,2017-12-11,
002463,000300,2026-06-28,2026-06-28,2024-12-16,
002466,000300,2026-06-28,2026-06-28,2021-12-13,
002475,000300,2026-06-28,2026-06-28,2014-06-16,
002493,000300,2026-06-28,2026-06-28,2018-06-11,
002532,000300,2026-06-28,2026-06-28,2026-06-15,
002558,000300,2026-06-28,2026-06-28,2026-06-15,
002594,000300,2026-06-28,2026-06-28,2012-01-04,
002600,000300,2026-06-28,2026-06-28,2025-06-16,
002602,000300,2026-06-28,2026-06-28,2026-06-15,
002625,000300,2026-06-28,2026-06-28,2025-12-15,
002648,000300,2026-06-28,2026-06-28,2022-06-13,
002709,000300,2026-06-28,2026-06-28,2021-12-13,
002714,000300,2026-06-28,2026-06-28,2016-12-12,
002736,000300,2026-06-28,2026-06-28,2015-06-15,
002837,000300,2026-06-28,2026-06-28,2026-06-15,
002916,000300,2026-06-28,2026-06-28,2019-12-16,
002920,000300,2026-06-28,2026-06-28,2022-06-13,
002938,000300,2026-06-28,2026-06-28,2019-06-17,
003816,000300,2026-06-28,2026-06-28,2020-06-15,
300014,000300,2026-06-28,2026-06-28,2020-06-15,
300015,000300,2026-06-28,2026-06-28,2017-12-11,
300033,000300,2026-06-28,2026-06-28,2016-12-12,
300059,000300,2026-06-28,2026-06-28,2015-06-15,
300122,000300,2026-06-28,2026-06-28,2017-12-11,
300124,000300,2026-06-28,2026-06-28,2014-12-15,
300251,000300,2026-06-28,2026-06-28,2025-12-15,
300274,000300,2026-06-28,2026-06-28,,
300308,000300,2026-06-28,2026-06-28,2023-12-11,
300316,000300,2026-06-28,2026-06-28,2021-12-13,
300394,000300,2026-06-28,2026-06-28,2024-12-16,
300408,000300,2026-06-28,2026-06-28,2018-06-11,
300413,000300,2026-06-28,2026-06-28,2019-06-17,
300418,000300,2026-06-28,2026-06-28,2024-06-17,
300433,000300,2026-06-28,2026-06-28,2018-06-11,
300442,000300,2026-06-28,2026-06-28,2024-06-17,
300450,000300,2026-06-28,2026-06-28,2026-06-15,
300476,000300,2026-06-28,2026-06-28,2025-12-15,
300498,000300,2026-06-28,2026-06-28,2019-06-17,
300502,000300,2026-06-28,2026-06-28,2024-12-16,
300628,000300,2026-06-28,2026-06-28,2020-06-15,
300661,000300,2026-06-28,2026-06-28,2022-06-13,
300750,000300,2026-06-28,2026-06-28,2021-12-13,
300760,000300,2026-06-28,2026-06-28,2021-12-13,
300803,000300,2026-06-28,2026-06-28,2025-12-15,
300832,000300,2026-06-28,2026-06-28,2024-06-17,
300866,000300,2026-06-28,2026-06-28,2025-12-15,
300896,000300,2026-06-28,2026-06-28,2021-12-13,
300999,000300,2026-06-28,2026-06-28,2021-12-13,
301165,000300,2026-06-28,2026-06-28,2026-06-15,
301236,000300,2026-06-28,2026-06-28,2025-06-16,
301269,000300,2026-06-28,2026-06-28,2023-12-11,
301308,000300,2026-06-28,2026-06-28,2026-06-15,
302132,000300,2026-06-28,2026-06-28,2025-06-16,
600000,000300,2026-06-28,2026-06-28,,
600009,000300,2026-06-28,2026-06-28,2005-04-08,
600010,000300,2026-06-28,2026-06-28,2005-04-08,
600011,000300,2026-06-28,2026-06-28,2017-12-11,
600015,000300,2026-06-28,2026-06-28,2005-04-08,
600016,000300,2026-06-28,2026-06-28,2005-04-08,
600018,000300,2026-06-28,2026-06-28,2013-12-16,
600019,000300,2026-06-28,2026-06-28,2005-04-08,
600023,000300,2026-06-28,2026-06-28,2023-12-11,
600025,000300,2026-06-28,2026-06-28,2018-06-11,
600026,000300,2026-06-28,2026-06-28,2024-06-17,
600027,000300,2026-06-28,2026-06-28,2024-06-17,
600028,000300,2026-06-28,2026-06-28,2005-04-08,
600029,000300,2026-06-28,2026-06-28,2005-04-08,
600030,000300,2026-06-28,2026-06-28,2005-04-08,
600031,000300,2026-06-28,2026-06-28,2005-04-08,
600036,000300,2026-06-28,2026-06-28,2005-04-08,
600039,000300,2026-06-28,2026-06-28,2022-12-12,
600048,000300,2026-06-28,2026-06-28,2007-01-04,
600050,000300,2026-06-28,2026-06-28,2005-04-08,
600061,000300,2026-06-28,2026-06-28,2016-06-13,
600066,000300,2026-06-28,2026-06-28,2024-12-16,
600085,000300,2026-06-28,2026-06-28,,
600089,000300,2026-06-28,2026-06-28,2022-06-13,
600104,000300,2026-06-28,2026-06-28,,
600111,000300,2026-06-28,2026-06-28,2008-01-02,
600115,000300,2026-06-28,2026-06-28,2011-01-04,
600118,000300,2026-06-28,2026-06-28,2026-06-15,
600150,000300,2026-06-28,2026-06-28,2020-12-14,
600160,000300,2026-06-28,2026-06-28,2024-12-16,
600176,000300,2026-06-28,2026-06-28,2018-06-11,
600183,000300,2026-06-28,2026-06-28,2019-12-16,
600188,000300,2026-06-28,2026-06-28,2022-06-13,
600196,000300,2026-06-28,2026-06-28,,
600219,000300,2026-06-28,2026-06-28,2022-06-13,
600221,000300,2026-06-28,2026-06-28,2026-06-15,
600233,000300,2026-06-28,2026-06-28,2022-12-12,
600276,000300,2026-06-28,2026-06-28,2011-01-04,
600309,000300,2026-06-28,2026-06-28,2005-04-08,
600346,000300,2026-06-28,2026-06-28,2018-06-11,
600362,000300,2026-06-28,2026-06-28,2005-04-08,
600372,000300,2026-06-28,2026-06-28,2023-12-11,
600406,000300,2026-06-28,2026-06-28,2011-01-04,
600415,000300,2026-06-28,2026-06-28,2024-06-17,
600426,000300,2026-06-28,2026-06-28,2021-06-15,
600436,000300,2026-06-28,2026-06-28,2017-06-12,
600438,000300,2026-06-28,2026-06-28,2018-06-11,
600460,000300,2026-06-28,2026-06-28,2022-06-13,
600482,000300,2026-06-28,2026-06-28,2024-12-16,
600489,000300,2026-06-28,2026-06-28,2023-12-11,
600515,000300,2026-06-28,2026-06-28,2023-12-11,
600519,000300,2026-06-28,2026-06-28,2005-04-08,
600522,000300,2026-06-28,2026-06-28,2025-12-15,
600547,000300,2026-06-28,2026-06-28,2007-01-04,
600549,000300,2026-06-28,2026-06-28,2026-06-15,
600570,000300,2026-06-28,2026-06-28,2014-12-15,
600584,000300,2026-06-28,2026-06-28,2020-12-14,
600585,000300,2026-06-28,2026-06-28,2005-04-08,
600588,000300,2026-06-28,2026-06-28,2009-01-05,
600600,000300,2026-06-28,2026-06-28,2020-12-14,
600660,000300,2026-06-28,2026-06-28,2005-04-08,
600674,000300,2026-06-28,2026-06-28,2022-12-12,
600690,000300,2026-06-28,2026-06-28,2005-04-08,
600741,000300,2026-06-28,2026-06-28,,
600760,000300,2026-06-28,2026-06-28,2018-12-17,
600795,000300,2026-06-28,2026-06-28,,
600803,000300,2026-06-28,2026-06-28,2022-12-12,
600809,000300,2026-06-28,2026-06-28,2018-06-11,
600845,000300,2026-06-28,2026-06-28,2020-12-14,
600875,000300,2026-06-28,2026-06-28,2023-06-12,
600886,000300,2026-06-28,2026-06-28,2013-01-04,
600887,000300,2026-06-28,2026-06-28,2011-01-04,
600893,000300,2026-06-28,2026-06-28,2011-01-04,
600900,000300,2026-06-28,2026-06-28,,
600905,000300,2026-06-28,2026-06-28,2021-12-13,
600918,000300,2026-06-28,2026-06-28,2020-12-14,
600919,000300,2026-06-28,2026-06-28,2017-06-12,
600926,000300,2026-06-28,2026-06-28,2017-06-12,
600930,000300,2026-06-28,2026-06-28,2025-12-15,
600938,000300,2026-06-28,2026-06-28,2023-12-11,
600941,000300,2026-06-28,2026-06-28,2022-06-13,
600958,000300,2026-06-28,2026-06-28,2015-06-15,
600989,000300,2026-06-28,2026-06-28,2019-12-16,
600999,000300,2026-06-28,2026-06-28,2010-07-01,
601006,000300,2026-06-28,2026-06-28,2006-08-15,
601009,000300,2026-06-28,2026-06-28,2008-01-02,
601012,000300,2026-06-28,2026-06-28,2017-12-11,
601018,000300,2026-06-28,2026-06-28,2025-12-15,
601021,000300,2026-06-28,2026-06-28,2015-06-15,
601058,000300,2026-06-28,2026-06-28,2025-03-04,
601059,000300,2026-06-28,2026-06-28,2023-12-11,
601066,000300,2026-06-28,2026-06-28,2018-12-17,
601077,000300,2026-06-28,2026-06-28,2025-06-16,
601088,000300,2026-06-28,2026-06-28,2007-10-23,
601100,000300,2026-06-28,2026-06-28,2020-06-15,
601111,000300,2026-06-28,2026-06-28,2007-01-04,
601117,000300,2026-06-28,2026-06-28,2022-06-13,
601127,000300,2026-06-28,2026-06-28,,
601136,000300,2026-06-28,2026-06-28,2024-12-16,
601138,000300,2026-06-28,2026-06-28,2018-12-17,
601166,000300,2026-06-28,2026-06-28,2007-02-26,
601169,000300,2026-06-28,2026-06-28,2008-01-02,
601186,000300,2026-06-28,2026-06-28,2009-01-05,
601211,000300,2026-06-28,2026-06-28,2015-12-14,
601225,000300,2026-06-28,2026-06-28,2014-06-16,
601229,000300,2026-06-28,2026-06-28,2017-06-12,
601238,000300,2026-06-28,2026-06-28,2018-06-11,
601288,000300,2026-06-28,2026-06-28,2010-07-29,
601318,000300,2026-06-28,2026-06-28,2007-03-15,
601319,000300,2026-06-28,2026-06-28,2019-06-17,
601328,000300,2026-06-28,2026-06-28,2007-05-29,
601336,000300,2026-06-28,2026-06-28,2012-07-02,
601360,000300,2026-06-28,2026-06-28,2018-06-11,
601377,000300,2026-06-28,2026-06-28,2011-07-01,
601390,000300,2026-06-28,2026-06-28,2008-07-01,
601398,000300,2026-06-28,2026-06-28,2006-11-10,
601456,000300,2026-06-28,2026-06-28,2025-12-15,
601600,000300,2026-06-28,2026-06-28,2007-04-30,
601601,000300,2026-06-28,2026-06-28,2008-07-01,
601607,000300,2026-06-28,2026-06-28,,
601618,000300,2026-06-28,2026-06-28,2010-01-04,
601628,000300,2026-06-28,2026-06-28,2007-01-23,
601633,000300,2026-06-28,2026-06-28,2012-07-02,
601658,000300,2026-06-28,2026-06-28,2020-06-15,
601668,000300,2026-06-28,2026-06-28,2010-01-04,
601669,000300,2026-06-28,2026-06-28,2012-07-02,
601688,000300,2026-06-28,2026-06-28,2010-07-01,
601689,000300,2026-06-28,2026-06-28,2022-12-12,
601698,000300,2026-06-28,2026-06-28,2019-12-16,
601727,000300,2026-06-28,2026-06-28,2026-06-15,
601728,000300,2026-06-28,2026-06-28,2021-12-13,
601766,000300,2026-06-28,2026-06-28,2009-07-01,
601788,000300,2026-06-28,2026-06-28,2015-06-15,
601800,000300,2026-06-28,2026-06-28,2013-01-04,
601816,000300,2026-06-28,2026-06-28,2020-06-15,
601818,000300,2026-06-28,2026-06-28,2011-01-04,
601825,000300,2026-06-28,2026-06-28,2025-06-16,
601838,000300,2026-06-28,2026-06-28,2018-06-11,
601857,000300,2026-06-28,2026-06-28,2007-11-19,
601868,000300,2026-06-28,2026-06-28,2021-12-13,
601872,000300,2026-06-28,2026-06-28,2023-06-12,
601877,000300,2026-06-28,2026-06-28,2016-12-12,
601878,000300,2026-06-28,2026-06-28,2017-12-11,
601881,000300,2026-06-28,2026-06-28,2017-06-12,
601888,000300,2026-06-28,2026-06-28,2010-07-01,
601898,000300,2026-06-28,2026-06-28,2021-12-13,
601899,000300,2026-06-28,2026-06-28,2009-01-05,
601901,000300,2026-06-28,2026-06-28,2012-07-02,
601916,000300,2026-06-28,2026-06-28,2023-12-11,
601919,000300,2026-06-28,2026-06-28,2015-06-15,
601939,000300,2026-06-28,2026-06-28,2008-07-01,
601985,000300,2026-06-28,2026-06-28,2015-12-14,
601988,000300,2026-06-28,2026-06-28,2006-07-19,
601995,000300,2026-06-28,2026-06-28,2021-06-15,
601998,000300,2026-06-28,2026-06-28,2007-05-18,
603019,000300,2026-06-28,2026-06-28,2019-06-17,
603259,000300,2026-06-28,2026-06-28,2018-12-17,
603260,000300,2026-06-28,2026-06-28,2021-12-13,
603288,000300,2026-06-28,2026-06-28,2018-06-11,
603296,000300,2026-06-28,2026-06-28,2024-06-17,
603369,000300,2026-06-28,2026-06-28,2020-06-15,
603392,000300,2026-06-28,2026-06-28,2020-12-14,
603501,000300,2026-06-28,2026-06-28,2019-12-16,
603799,000300,2026-06-28,2026-06-28,2017-12-11,
603893,000300,2026-06-28,2026-06-28,2025-12-15,
603986,000300,2026-06-28,2026-06-28,2018-12-17,
603993,000300,2026-06-28,2026-06-28,2013-07-01,
605117,000300,2026-06-28,2026-06-28,2022-12-12,
605499,000300,2026-06-28,2026-06-28,2021-12-13,
688008,000300,2026-06-28,2026-06-28,2020-12-14,
688009,000300,2026-06-28,2026-06-28,2024-06-17,
688012,000300,2026-06-28,2026-06-28,2020-12-14,
688036,000300,2026-06-28,2026-06-28,2020-12-14,
688041,000300,2026-06-28,2026-06-28,2023-12-11,
688047,000300,2026-06-28,2026-06-28,2025-06-16,
688072,000300,2026-06-28,2026-06-28,2026-06-15,
688082,000300,2026-06-28,2026-06-28,2024-06-17,
688111,000300,2026-06-28,2026-06-28,2021-06-15,
688126,000300,2026-06-28,2026-06-28,2021-06-15,
688183,000300,2026-06-28,2026-06-28,2026-06-15,
688223,000300,2026-06-28,2026-06-28,2023-06-12,
688256,000300,2026-06-28,2026-06-28,2023-12-11,
688271,000300,2026-06-28,2026-06-28,2023-12-11,
688303,000300,2026-06-28,2026-06-28,2022-12-12,
688396,000300,2026-06-28,2026-06-28,2021-06-15,
688472,000300,2026-06-28,2026-06-28,,
688506,000300,2026-06-28,2026-06-28,2024-12-16,
688521,000300,2026-06-28,2026-06-28,2026-06-15,
688981,000300,2026-06-28,2026-06-28,2021-12-13,
