symbol,index_code,first_seen_date,last_seen_date,inclusion_date,removed_date
000009,000905,2026-06-28,2026-06-28,,
000021,000905,2026-06-28,2026-06-28,2013-01-04,
000027,000905,2026-06-28,2026-06-28,2017-06-12,
000032,000905,2026-06-28,2026-06-28,,
000034,000905,2026-06-28,2026-06-28,,
000039,000905,2026-06-28,2026-06-28,2017-06-12,
000050,000905,2026-06-28,2026-06-28,,
000060,000905,2026-06-28,2026-06-28,2018-12-17,
000062,000905,2026-06-28,2026-06-28,,
000088,000905,2026-06-28,2026-06-28,2025-12-15,
000155,000905,2026-06-28,2026-06-28,2022-12-12,
000400,000905,2026-06-28,2026-06-28,2016-06-13,
000415,000905,2026-06-28,2026-06-28,,
000423,000905,2026-06-28,2026-06-28,2023-06-12,
000429,000905,2026-06-28,2026-06-28,,
000513,000905,2026-06-28,2026-06-28,2010-07-01,
000519,000905,2026-06-28,2026-06-28,2014-12-15,
000528,000905,2026-06-28,2026-06-28,2025-06-16,
000537,000905,2026-06-28,2026-06-28,2018-12-17,
000539,000905,2026-06-28,2026-06-28,2023-12-11,
000559,000905,2026-06-28,2026-06-28,2018-12-17,
000582,000905,2026-06-28,2026-06-28,,
000591,000905,2026-06-28,2026-06-28,2022-12-12,
000598,000905,2026-06-28,2026-06-28,2016-06-13,
000623,000905,2026-06-28,2026-06-28,2018-12-17,
000629,000905,2026-06-28,2026-06-28,2020-06-15,
000661,000905,2026-06-28,2026-06-28,2026-06-15,
000683,000905,2026-06-28,2026-06-28,2022-12-12,
000703,000905,2026-06-28,2026-06-28,2022-12-12,
000709,000905,2026-06-28,2026-06-28,2020-12-14,
000723,000905,2026-06-28,2026-06-28,2023-12-11,
000728,000905,2026-06-28,2026-06-28,2021-12-13,
000729,000905,2026-06-28,2026-06-28,2017-06-12,
000733,000905,2026-06-28,2026-06-28,,
000737,000905,2026-06-28,2026-06-28,2026-06-15,
000738,000905,2026-06-28,2026-06-28,2018-06-11,
000739,000905,2026-06-28,2026-06-28,2020-06-15,
